asignatura_id,asignatura_dependiente_id
709109070,709109071
709109071,709109270
709109071,709109271
709109271,709409012
709109271,709409022
709109271,709409032
709109271,709409042
709109271,709409052
709109271,709409074
709109271,709309310
709109271,709309320
709109271,709309330
709109271,709309340
709109271,709309350
709309310,709309311
709309310,709409312
709309320,709309321
709309320,709409322
709309330,709309331
709309330,709409332
709309340,709309341
709309340,709409342
709309350,709309351
709309350,709409352
709109072,709109073
709109073,709109272
709109073,709209010
709109073,709209020
709109073,709209030
709109073,709209040
709109073,709209050
709109073,709109273
709109073,709109274
709109272,709309313
709109272,709309323
709109272,709309333
709109272,709309343
709109272,709309353
709109272,709309314
709109272,709309324
709109272,709309344
709109272,709309354
709109272,709309334
709309314,709309315
709309334,709309335
709309344,709309345
709309354,709309355
709109110,709109111
709109111,709109112
709109111,709109115
709109115,709209116
709109112,709109118
709209010,709209011
709109118,709109119
709209116,709209117
709109120,709109121
709109121,709109122
709109121,709109125
709109121,709209020
709109122,709209128
709209128,709209129
709109125,709209126
709209020,709209021
709209126,709209127
709109130,709109131
709109131,709109132
709109131,709109135
709109131,709209030
709109132,709209138
709209138,709209139
709109135,709209136
709209136,709209137
709209030,709209031
709109140,709109141
709109141,709109142
709109141,709109145
709109141,709209040
709109142,709209148
709209148,709209149
709109145,709209146
709209146,709209147
709209040,709209041
709109150,709109151
709109151,709109152
709109151,709109155
709109151,709209050
709109152,709209158
709209158,709209159
709109155,709209156
709209050,709209051
709109073,709109271
709109112,709309310
709109122,709309320
709109132,709309330
709109142,709309340
709109152,709309350
709109152,709309353
709109152,709309354
709109142,709309343
709109142,709309344
709109132,709309333
709109132,709309334
709109122,709309323
709109122,709309324
709109112,709309313
709109112,709309314
710100001,710100006
708108113,708108218
708108002,708108010
708108117,708108111
708108118,708108222
710100002,710100007
710100003,710100009
710100014,710100006
710100016,710100011
710100018,710100012
710100020,710100008
710100021,710100017
710100152,710100136
710100181,710100152
710100073,710100405
710100074,710100850
710100078,710100075
710101079,710100405
710101079,710100073
710100077,710100850
710100077,710100074
710100082,710100075
710100082,710100078
710100082,710101050
710101077,710100079
710101077,710101051
710101073,710101072
710100076,710100405
710100076,710100073
710100076,710101079
710101075,710100850
710101075,710100074
710101075,710100077
710100087,710100075
710100087,710100078
710100087,710100082
710101078,710101077
710101078,710100079
710101074,710101073
710101074,710101072
710100061,710100057
710100062,710100058
710100063,710100059
710100064,710100060
710100065,710100057
710100065,710100061
710100067,710100063
710100068,710100064
710100844,710100479
710100069,710100065
710100070,710100066
710100071,710100059
710100071,710100063
710100071,710100067
710100104,710100016
710100105,710100016
710100106,710100016
710100107,710100016
710100108,710100104
710100109,710100105
710100110,710100106
710100184,710100107
710100112,710100104
710100112,710100108
710100113,710100105
710100113,710100109
710100116,710112061
710100116,710100104
710100116,710100108
710100117,710100105
710100117,710100109
710100117,710100113
710100118,710100114
710100091,710100019
710100091,710114021
710100103,710100019
708108119,708308513
710100103,710114021
708108115,708108215
710100094,710100090
710100101,710100097
710100102,710100099
708108010,708108007
710100098,710100094
708108111,708108211
708108222,708108216
710100041,710100023
710100041,710110697
708108218,708108313
708108221,708108317
710100042,710100023
710100042,710110697
710100043,710100023
710100043,710110697
710100045,710100041
710100047,710100043
708108007,708108008
708108211,708108415
708108319,708108419
071410A106,071410A104
071410A107,071410A105
071440AC10,071440AC08
707112694,707112995
707112695,707112696
703100318,703100319
703100317,703100318
703100352,703100353
703100351,703100352
703100355,703100356
703100354,703100355
703100303,703100304
703100302,703100303
703100301,703100302
703100312,703100313
703100311,703100312
703100309,703100310
703100324,703100325
703100324,703100326
703100324,703100327
703100324,703100328
703100322,703100323
703200331,703200332
703200331,703200334
703200331,703200359
703200331,703200360
703200330,703200331
703200329,703200330
703400365,703400337
703400365,703400338
703400365,703400366
703400365,703400367
703400336,703400337
703400335,703400336
703300357,703300342
703300357,703300358
703300357,703300364
703300341,703300342
703300340,703300341
708108215,708108318
708108318,708108418
708108119,708108221
708108317,708108413
708108119,708108550
708108119,708108551
708108413,708108557
708108557,708108665
708108550,708108661
708108551,708108661
708108661,708108931
708108313,708108553
708108553,708108660
708108660,708108771
708108771,708108880
708108418,708108775
708108775,708108883
708108415,708108558
708108558,708108664
708108551,708108884
708108880,708108958
708108555,708108662
708108663,708108772
708108663,708108773
708108773,708108935
708108883,708108936
708108557,708108885
708108557,708108777
070210L113,070210L114
070210L112,070210L113
070210L111,070210L112
708108661,708108776
070210L213,070210L214
070210L212,070210L213
070210L211,070210L212
070210L312,070210L313
070210L312,070210L314
070210L311,070210L312
070210L411,070210L412
070210L411,070210L413
070210L411,070210L414
070210L511,070210L512
070210L511,070210L513
070210L511,070210L514
070210L613,070210L614
070210L612,070210L613
070210L611,070210L612
704105101,704102213
704102213,704102101
704102101,704102207
704102207,704102315
704102207,704102102
704105204,704105102
704105307,704105308
704105308,704102207
704105308,704101206
704101206,704101208
704101208,704101209
704101208,704101311
704105309,704105310
704105310,704105311
704105311,704101208
704104101,704104102
704104102,704104103
704104103,704104309
704105206,704101101
704101101,704101102
070210L113,070211L711
070210L113,070211L721
070210L113,070211L731
070210L113,070211L741
070210L113,070211L751
070210L113,070211L761
070211L763,070211L764
070211L762,070211L763
070211L761,070211L762
070211L753,070211L754
070211L752,070211L753
070211L751,070211L752
070211L743,070211L744
070211L742,070211L743
070211L741,070211L742
070211L733,070211L734
070211L732,070211L733
070211L731,070211L732
070211L723,070211L724
070211L722,070211L723
070211L721,070211L722
070211L713,070211L714
070211L712,070211L713
070211L711,070211L712
704101102,704101103
704101102,704101312
704101312,704101313
704105413,704105414
704102102,704103205
704101311,704103205
070210L214,070211L22A
070210L214,070211L22B
704101313,704103205
070210L314,070211L32O
070210L411,070211L42L
704103205,704103206
704103206,704103207
704103207,704103208
704105102,704105103
704105102,704105523
704103208,704105103
704103208,704105523
070210L614,070211L62A
070210L614,070211L62L
070210L614,070211L62G
070210L614,070211L62R
070210L614,070211L62K
701100011,701100012
701100031,701100032
701100051,701100052
701100073,701100074
701110201,701110202
701110202,701110203
701110221,701110222
701110222,701110223
701100074,701117270
707203293,707203291
707203298,707203294
707203298,707203296
707200045,707203293
707703061,707704001
707703061,707703028
708108111,708108319
705100011,705100021
705100014,705100024
705100022,705100031
705100022,705100032
705100025,705100035
705100034,705100044
705100035,705100045
705100033,705100043
705100045,705100054
705100021,705100061
705100035,705100064
705100051,705100064
705100054,705100065
705100061,705100071
705100065,705100075
705100061,705100076
705108812,705100055
705100023,705100055
705100031,705100055
705100032,705100055
705100062,705110823
705110823,705119910
705100052,705110821
705110821,705119909
705100072,705110803
705110803,705119902
705100046,705100056
705100056,705100066
705100048,705100058
705100058,705100068
710100111,710100115
710100115,710100119
710100007,710100011
710100010,710100015
710100015,710100019
070210L514,070211L52F
070210L313,070211L32O
070210L411,070211L42N
070210L214,070211L22K
070210L314,070211L32R
707107785,707107680
707107610,707107674
707107680,707100033
707107680,707100016
707107610,707100016
707100031,707100034
707100032,707107670
707100015,707107670
707107620,707107670
707100033,707100018
707100016,707100018
707100032,707107628
707100034,707107628
707100032,707100021
707100033,707100021
707100020,707500027
707100018,707500028
707100020,707500094
707107670,707502840
707500030,707502840
707500028,707502840
707500094,707502840
707500027,707502840
707500030,707502836
707500094,707502836
707500094,707502837
707500094,707500052
707502836,707500052
707502836,707502841
707502840,707502841
707502837,707502841
707100021,707502626
707100018,707502626
707502837,707502626
707500052,707500054
707502840,707500054
707502626,707502627
707502840,707502842
707100020,707600064
707107670,707602873
707100021,707602958
707100021,707402771
707100020,707600065
707107670,707600065
707600064,707600065
707600064,707600067
707600064,707600068
707602873,707600070
707602958,707600070
707602771,707600070
707107628,707600075
707600064,707600075
707600067,707602929
707600068,707600069
707600070,707600074
707600068,707600074
707600065,707063039
707600064,707063039
707600074,707600076
707600074,707600077
707602929,707600077
707100018,707603167
707100021,707603167
707107628,707203290
707107670,707203290
707100034,707203291
707100016,707202770
707107628,707203292
707203292,707203295
707203290,707203295
707202770,707203295
707202770,707203293
707203292,707203294
707202770,707203294
707202770,707203296
712100443,712100448
712100444,712100447
712100445,712100494
712100446,712100449
712100447,712100488
712100448,712100462
712100448,712100463
712100448,712100493
712100449,712100489
712100494,712100453
712100488,712100463
712100488,712100492
712100488,712100453
712100489,712100982
712100490,712100495
712100490,712100457
712106834,712106835
712106835,712106836
712100492,712100496
712100493,712100497
712100495,712100981
712100495,712100978
712100453,712100455
712100457,712100499
712100497,712100498
712100455,712101004
712100455,712100460
712100499,712100501
712100981,712100978
712100981,712100450
712100981,712109582
712110440,712110441
712100978,712107673
712100450,712100491
712100995,712100999
712100460,712100458
712100456,712100458
070210L514,070211L52E
709109270,709119102
709109270,709119007
709109270,709119207
709109270,709119967
709109270,070911XXXX
709109270,709119953
709109270,709119222
709109270,709109279
070210L114,070211L12S
070210L214,070211L22P
070210L314,070211L32H
070210L314,070211L32P
070210L411,070211L42K
070210L514,070211L52B
070210L514,070211L52L
070210L614,070211L62X
070210L614,070211L62C
070210L614,070211L62N
709309324,709309325
709109270,709119956
709109271,709119007
709109271,709119102
709109271,709119207
709109271,709119222
709109271,709119953
709109271,709119956
709109271,709119967
709109271,070911XXXX
709109272,709119007
709109272,709119102
709109272,709119207
709109272,709119222
709109272,709119953
709109272,709119956
709109272,709119967
709109272,070911XXXX
709209010,709119007
709209010,709119102
709209010,709119207
709209010,709119222
709209010,709119953
709209010,709119956
709209010,709119967
709209010,070911XXXX
709209020,709119007
709209020,709119102
709209020,709119207
709209020,709119222
709209020,709119953
709209020,709119956
709209020,709119967
709209020,070911XXXX
709209030,709119102
709209030,709119207
709209030,709119222
709209030,709119953
709209030,709119956
709209030,709119967
709209030,070911XXXX
709209030,709119007
709209040,709119007
709209040,709119102
709209040,709119207
709209040,709119222
709209040,709119953
709209040,709119956
709209040,709119967
709209040,070911XXXX
709209050,709119007
709209050,709119102
709209050,709119207
709209050,709119222
709209050,709119953
709209050,709119956
709209050,709119967
709209050,070911XXXX
709109273,709119007
709109273,709119102
709109273,709119207
709109273,709119222
709109273,709119953
709109273,709119956
709109273,709119967
709109273,070911XXXX
709109274,709119007
709109274,709119102
709109274,709119207
709109274,709119222
709109274,709119953
709109274,709119956
709109274,709119967
709109274,070911XXXX
709109112,709119007
709109112,709119102
709109112,709119207
709109112,709119222
709109112,709119953
709109112,709119956
709109112,709119967
709109122,709119007
709109122,709119102
709109122,709119207
709109122,709119222
709109122,709119953
709109122,709119956
709109122,709119967
709109122,070911XXXX
709109142,709119007
709109142,709119102
709109142,709119207
709109142,709119222
709109142,709119953
709109142,709119956
709109142,709119967
709109142,070911XXXX
709109152,709119007
709109152,709119102
709109152,709119207
709109152,709119222
709109152,709119953
709109152,709119956
709109152,709119967
709109152,070911XXXX
709109115,709119007
709109115,709119102
709109115,709119207
709109115,709119222
709109115,709119953
709109115,709119956
709109115,709119967
709109115,070911XXXX
709109125,709119007
709109125,709119102
709109125,709119207
709109125,709119222
709109125,709119953
709109125,709119956
709109125,709119967
709109125,070911XXXX
709109135,709119007
709109135,709119102
709109135,709119207
709109135,709119222
709109135,709119953
709109135,709119956
709109135,709119967
709109135,070911XXXX
709109145,709119007
709109145,709119102
709109145,709119207
709109145,709119222
709109145,709119953
709109145,709119956
709109145,709119967
709109145,070911XXXX
709109155,709119007
709109155,709119102
709109155,709119207
709109155,709119222
709109155,709119953
709109155,709119956
709109155,709119967
709109155,070911XXXX
709109270,709109966
709109112,709109966
709109112,709109279
709109271,709109966
709109271,709109279
709109272,709109966
709109272,709109279
709109273,709109966
709109273,709109279
709109274,709109966
709109274,709109279
709109115,709109966
709109115,709109279
709209010,709109966
709209010,709109279
709109122,709109966
709109122,709109279
709109125,709109966
709109125,709109279
709209020,709109966
709209020,709109279
709109132,709119007
709109132,709119102
709109132,709119207
709109132,709119222
709109132,709119953
709109132,709119956
709109132,709119967
709109132,070911XXXX
709109132,709109966
709109132,709109279
709109135,709109966
709109135,709109279
709209030,709109966
709109142,709109966
709109142,709109279
709109145,709109966
709109145,709109279
709209040,709109966
709109152,709109966
709109152,709109279
709109155,709109966
709109155,709109279
709209050,709109966
709109070,709109273
070210L114,070211L730
705100053,705100063
705100043,705100053
070211L771,070211L772
070210L114,070211L12E
070210L314,070211L32Q
070210L411,070211L42M
070210L411,070211L42H
070210L411,070211L42A
070210L514,070211L52C
070210L514,070211L52G
070210L514,070211L52H
070210L512,070211L52G
070210L513,070211L52G
070111L009,070111L007
704102316,704102315
070511E002,070511E001
710114361,710114356
707119044,707119033
705100062,705100075
G603017,G603026
G603017,G99906
G503013,G503010
G503013,G99906
G503014,G503011
G503014,G99906
G503015,G503012
G503015,G99906
G503016,G503014
G503017,G503015
G503018,G503017
G527004,G527001
G527004,G99906
G527005,G527002
G527005,G99906
G527006,G527001
G527006,G99906
G528004,G528001
G528004,G99906
G528005,G528002
G528005,G99906
G528006,G528003
G528006,G99906
G530003,G530001
G530003,G530002
G530003,G99906
G530004,G530001
G530004,G99906
G637002,G637001
G593002,G99906
G593002,G593001
G593003,G99906
G593004,G99906
G593060,G99906
G593061,G99906
G593062,G99906
G593063,G99906
G593064,G99906
G593065,G99906
G571002,G571001
G571002,G99906
G571003,G571002
G571004,G571003
G571054,G99906
G571055,G99906
G571056,G99906
G571057,G99906
G571058,G99906
G616002,G99906
G616002,G616001
G616003,G99906
G616003,G616002
G616004,G99906
G616004,G616003
G616006,G99906
G616007,G99906
G616008,G99906
G544088,G99906
G544089,G99906
G544091,G544090
G544091,G99906
G545013,G545003
G545013,G99906
G545014,G545001
G545014,G99906
G542015,G542011
G542015,G99906
G542016,G542012
G542016,G542013
G542016,G542014
G542016,G99906
G542018,G542011
G542018,G542015
G542019,G542016
G547005,G547001
G547005,G547003
G547005,G547004
G547005,G99906
G547006,G547001
G547006,G547003
G547006,G547004
G547006,G99906
G547007,G547001
G547007,G547002
G547007,G547003
G547007,G547004
G547007,G99906
G547009,G547006
G547010,G547007
G547011,G547010
G546004,G99906
G546005,G99906
G546007,G99906
G546008,G99906
G538038,G538036
G538038,G99906
G538036,G99906
G538043,G99906
G538042,G99906
G538044,G99906
G538045,G99906
G573005,G99906
G573006,G99906
G573007,G99906
G573008,G99906
G573009,G99906
G573011,G99906
G573012,G99906
G572005,G99906
G572006,G99906
G572007,G99906
G572008,G99906
G572009,G99906
G572010,G99906
G572012,G99906
G584004,G584001
G584005,G584003
G584006,G584001
G584009,G584007
G584008,G584006
G584007,G584004
G584004,G99906
G584005,G99906
G592018,G99906
G592018,G592017
G592014,G99906
G592014,G592012
G592004,G99906
G592011,G99906
G592012,G99906
G592013,G99906
G594003,G99906
G594003,G594001
G594004,G99906
G594004,G594002
G594005,G99906
G594005,G594003
G594006,G99906
G594006,G594004
G594008,G99906
G594008,G594006
G603025,G99906
G603025,G603021
G603014,G99906
G603024,G99906
G603026,G99906
G604004,G99906
G604004,G604003
G604006,G99906
G604007,G99906
G604007,G604003
G604007,G604005
G604008,G99906
G604009,G99906
G604009,G604003
G604009,G604005
G604009,G604007
G605003,G99906
G605003,G605001
G605004,G99906
G605006,G99906
G605006,G605001
G605006,G605003
G605008,G99906
G605008,G605001
G605008,G605003
G605008,G605006
G613012,G99906
G614013,G99906
G614013,G614012
G614014,G99906
G614007,G99906
G614007,G614012
G614015,G99906
G617004,G99906
G617005,G99906
G617006,G99906
G617006,G617005
G617007,G99906
G617007,G617006
G633004,G99906
G633004,G633002
G633014,G99906
G633014,G633001
G633015,G633014
G633017,G99906
G633017,G633001
G633019,G99906
G633019,G633015
G633111,G633004
G633118,G633013
G629027,G99906
G629028,G99906
G629027,G629024
G629029,G629027
G629030,G99906
G629031,G99906
G629031,G629030
G635013,G99906
G635013,G635001
G635005,G99906
G635005,G635002
G635006,G99906
G635006,G635003
G635010,G99906
G635010,G635013
G635018,G99906
G635018,G635005
G635016,G99906
G635016,G635015
G638004,G99906
G638005,G99906
G638006,G99906
G650008,G99906
G650009,G99906
705100036,705100042
705108812,705100022
705100022,0705EE0032
705100024,705100034
705100024,705100033
705100024,705100046
705100042,705100052
705100052,705100062
705100062,705100072
705100064,705100074
705100053,705100075
705100042,705111158
705100042,705119911
705100042,705111160
705100042,705111156
705100053,705111044
705100053,705111047
705100062,705111046
705100062,705110860
705100072,705110836
705100025,705110832
705100035,705110832
705100045,705110832
705100021,705111084
705100074,705111120
705100074,705110839
705100052,705111174
705100064,705111174
707100014,707100032
707100014,707107620
707107610,707100014
707107674,707100015
701113251,701100074
701113251,701100052
701113251,701100032
701113251,701100012
707119100,707119043
705100041,705100051
705100033,705114370
705100051,705114370
705100052,705114370
705100054,705114370
705100053,705100104
705100064,705100104
705100062,705100104
G547008,G547005
G511003,G511001
G511003,G511002
G511003,G99906
G511004,G99906
G637004,G99906
G637003,G637002
G637003,G99906
G544004,G99906
707107628,707100020
707107670,707100020
707100018,707100020
707100020,707500030
707100020,707705002
707100020,707703396
707100020,707703016
707100020,707704035
707100020,707703398
707402772,707400058
707100018,707402772
709109112,709119460
709109112,709119209
709109115,709119460
709109115,709119209
709109112,709119206
709109115,709119206
709109274,709119209
709109274,709119460
709109274,709119206
709109270,709119206
709109270,709119209
709109270,709119460
709109273,709119460
709109273,709119209
709109273,709119206
709109122,709119460
709109122,709119209
709109122,709119206
709109125,709119460
709109125,709119209
709109125,709119206
709109135,709119460
709109135,709119206
709109135,709119209
709109132,709119460
709109132,709119206
709109132,709119209
709109142,709119460
709109142,709119206
709109142,709119209
709109145,709119206
709109145,709119460
709109145,709119209
709109155,709119460
709109155,709119209
709109155,709119206
709109152,709119460
709109152,709119209
709109152,709119206
709109272,709119460
709109272,709119209
709109272,709119206
709109271,709119209
709109271,709119460
709109271,709119206